word,used_in_graph,rank,rank_quartile,rank_in_top20%,sim_whisky,valence,sum_sim_valence
balblair,0,110383,2,0,0.3562181650605982,0.06429803371429443,0.42051619877489266
cask,1,8354,0,1,0.35503197373538514,-0.06378628313541412,0.291245690599971
ale,1,4310,0,1,0.3499563380788076,0.23104463517665863,0.5810009732554662
lager,1,20726,1,1,0.34230873762937936,0.04170042648911476,0.3840091641184941
peated,0,83538,2,0,0.3377507806941264,-0.06292031705379486,0.27483046364033153
rye,1,15347,0,1,0.3180464353268692,-0.1605009287595749,0.15754550656729432
whiskyscotch,0,142577,2,0,0.290360040694488,0.038456883281469345,0.32881692397595735
kilchoman,0,169607,2,0,0.28666950210119346,-0.01799897290766239,0.26867052919353107
barley,1,19067,1,1,0.2698888296517377,0.17887021601200104,0.44875904566373875
abv,0,6550,0,1,0.2692118606170862,0.30970215797424316,0.5789140185913293
whiskyimflsingle,0,146677,2,0,0.25763423665855456,0.03758199140429497,0.29521622806284953
vanilla,1,6021,0,1,0.16943276560558357,0.24495287239551544,0.414385638001099
milk,0,2675,0,1,0.15842007284991508,0.2889542877674103,0.4473743606173254
oat,0,15118,0,1,0.15642422004380377,0.4098254442214966,0.5662496642653003
grain,1,4681,0,1,0.1514848682797315,0.18925797939300537,0.3407428476727369
sugar,0,2192,0,1,0.14031381993165137,-0.3293088674545288,-0.18899504752287744
maltodextrin,0,169988,2,0,0.13287106718591438,-0.022265512496232986,0.11060555468968139
foodgrain,0,58412,1,0,0.13054641271387252,-0.019687790423631668,0.11085862229024085
sorghum,0,26279,1,1,0.12978665764852587,-0.00576607882976532,0.12402057881876055
sugarcane,0,28592,1,1,0.12840475308674543,-0.04948806390166283,0.0789166891850826
acidity,1,37726,1,0,0.12572508717314357,0.02200094237923622,0.1477260295523798
mix,1,1199,0,1,0.11442085820320336,0.8581052422523499,0.9725261004555532
buckwheat,0,35725,1,1,0.1010750824155415,0.22820483148097992,0.32927991389652145
soya,0,27364,1,1,0.09840860630676371,0.10412319004535675,0.20253179635212046
wheat,0,6710,0,1,0.09809917966025283,0.2883302569389343,0.38642943659918716
cereal,0,11099,0,1,0.09701896967825985,0.37159812450408936,0.4686170941823492
jaggery,0,66531,1,0,0.09221970203691206,0.16413119435310364,0.2563508963900157
foodstuff,0,52754,1,0,0.09060523803276921,-0.07081112265586853,0.01979411537690068
unprocessed,0,107079,2,0,0.08803616106780435,-0.10397109389305115,-0.0159349328252468
tonne,0,5825,0,1,0.08651965102640136,0.013216797262430191,0.09973644828883155
rice,0,2663,0,1,0.08368317760112563,0.4633808434009552,0.5470640210020808
maize,0,26345,1,1,0.08196036499154107,0.07055027782917023,0.1525106428207113
corn,0,3817,0,1,0.08039081776148861,0.22935061156749725,0.30974142932898585
foodgrains,0,56345,1,0,0.0749404401249422,-0.01997062936425209,0.054969810760690116
flour,0,5971,0,1,0.07354876960127511,0.43216076493263245,0.5057095345339075
coarse,0,16979,0,1,0.06921935892118046,-0.028517946600914,0.04070141232026646
oilseed,0,40668,1,0,0.06579791796112927,0.04973213002085686,0.11553004798198613
bagasse,0,158248,2,0,0.06479410635817488,-0.08960729837417603,-0.024813192016001143
winnow,0,129543,2,0,0.06024573554468085,0.050316084176301956,0.1105618197209828
soymeal,0,115585,2,0,0.05623761464658185,-0.15528348088264465,-0.0990458662360628
triticum,0,139129,2,0,0.054166037971393854,0.009535569697618484,0.06370160766901234
ragi,0,94076,2,0,0.05118819698809765,0.15215639770030975,0.2033445946884074
arhar,0,144162,2,0,0.04605056777823317,0.01763719692826271,0.06368776470649588
silage,0,80009,2,0,0.04414012190777806,-0.1889682114124298,-0.14482808950465176
quintals,0,112888,2,0,0.04061202786883856,0.009326394647359848,0.04993842251619841
starch,0,17735,0,1,0.036432930574951124,0.05430365726351738,0.0907365878384685
soybean,0,16017,0,1,0.03401783458705118,0.0686623603105545,0.10268019489760569
bajra,0,98096,2,0,0.030704050262819638,0.1814887672662735,0.21219281752909314
bushel,0,50825,1,0,0.029381911222175764,-0.18154773116111755,-0.1521658199389418
aestivum,0,185050,2,0,0.02673129361019002,-0.013289328664541245,0.013441964945648775
jowar,0,97827,2,0,0.023239658737429968,-0.040745072066783905,-0.017505413329353937
hydrolysate,0,116191,2,0,0.017985827886487324,-0.03877595067024231,-0.020790122783754986
groundnut,0,36402,1,1,0.017707794352843746,0.008612576872110367,0.026320371224954113
mandis,0,84911,2,0,0.014910464751737906,-0.11620411276817322,-0.10129364801643531
starchy,0,80352,2,0,0.010288215422837178,-0.06579157710075378,-0.055503361677916606
chaff,0,78545,1,0,0.00990273770453406,-0.11821360886096954,-0.10831087115643548
vegetable,0,2604,0,1,0.0032244329811615922,0.2780183255672455,0.2812427585484071
harvest,0,4865,0,1,0.002997698303062394,0.3942047655582428,0.3972024638613052
soyabean,0,63253,1,0,0.0010049589999004233,-0.03598844259977341,-0.03498348359987298
millet,0,17829,0,1,-0.006055798813299253,0.2585471272468567,0.2524913284335574
sheaf,0,85565,2,0,-0.013668058673752825,0.05796090140938759,0.04429284273563476
crop,0,3117,0,1,-0.015324184604993612,0.15409033000469208,0.13876614539969848
endosperm,0,157088,2,0,-0.018895638753381596,0.01186453178524971,-0.007031106968131886
