word,dim_dg_Relaxed,dim_dg_Confident,dim_dg_Welcoming,dim_dg_Social,dim_dg_Playful,dim_dg_Street-Smart,dim_dg_Progressive,dim_dg_Stylish,dim_dg_Inspiring,dim_dg_Authentic,dim_dg_Friendly,dim_dg_Bold,dim_dg_Inclusive,dim_dg_Fun,dim_dg_Passionate,dim_dg_Refined,dim_dg_pungent,dim_dg_bland,dim_dg_bitter,dim_dg_caramellic,dim_dg_malt,dim_dg_raw,dim_dg_smooth,dim_dg_spicy,dim_dg_sweet,dim_dg_smoky,"dim_dg_fullness, complexity",dim_dg_grain,dim_dg_matured,"dim_dg_vanilla, confectionery",dim_nf_appealing,dim_nf_expensive,dim_nf_fascination,dim_nf_fresh,dim_nf_healthy_positive,dim_nf_winner,dim_nf_mild,dim_nf_modern,dim_nf_natural,dim_nf_new,dim_nf_pleasant,dim_nf_attractive,dim_nf_Tasty,dim_nf_trendy,dim_nf_valuable,dim_nf_warm
maize,-0.10638986529990666,-0.09793041590947038,-0.08485340667086452,-0.05724379468849787,-0.08820233468609813,-0.13828322463576706,-0.028757676769899102,-0.09247416329711841,-0.11137115727692355,-0.07312035107682058,-0.06609990692486246,-0.15013640772967396,-0.0348160509134427,-0.08819305778237499,-0.10569320896395493,0.004704311365213779,0.20981321785815582,0.08826981979798232,0.20761668568036432,0.09494463345911962,0.18172261711016607,0.2981963284268726,-0.009895054615313866,0.1396912212172458,0.28720200342419183,-0.05324795488411096,-0.049309711413391195,0.7263627981195618,0.2140635044375447,0.22080401095839108,-0.098403559924808,-0.02465864231265587,-0.13102112557794648,0.01632222211610588,0.2899212127119003,-0.05840336342162671,0.06973785085621352,0.024845386293032182,0.1854312171525806,0.016994974441419244,-0.10794523261931391,-0.13763939003630435,0.04288254466776074,-0.04222377059999884,0.013879245289229817,-0.08800462427822392
cask,-0.058186896873597314,-0.05737439807012195,-0.03799578363259833,-0.10022087293958508,-0.021383623211710393,-0.03609272601176852,-0.039397495393754534,0.06553141007096941,0.031168207481094286,0.0867482191256501,-0.10110403751870806,-0.028818496103878596,-0.0012346477529401494,0.0029435691302675104,-0.0716229270363055,0.1065935451439301,0.1010337674979768,-0.05095819350097767,0.09883422021097892,0.1548645467071326,0.5214882478942531,0.14253637983152864,0.06892245500331007,0.09873400944600666,0.11584896535176756,0.025195655883741022,-0.07814956564751442,0.16058703596106402,0.17897364978238584,0.19470452518114928,-0.07875028901403071,-0.014647792846868632,-0.030609983807094242,-0.02166419771226963,0.013109092005870012,0.1262494682936058,0.04485782328877156,0.03369890515624277,-0.058527551770619454,0.060223750302794865,-0.05251741771818454,0.05625432506438344,0.026665155052135115,0.08872605252828099,0.06267701699763717,-0.07773829169713092
starchy,0.05394208514725237,0.07664136202048479,-0.07113888345553854,-0.01802014244719605,-0.008842210877836014,-0.06856387642741586,-0.041815806791933564,0.036447934729140846,-0.0926791667279049,0.10638608040745198,0.09603603740957306,-0.052935674806437454,0.012186664974266815,-0.03959733213968861,0.0013248616117531265,0.13351869042867204,0.3429980903969264,0.31310774456118173,0.3158208711231656,0.07575678778405387,0.11080229668182809,0.2853849568870394,0.20804339510352196,0.18786324875732116,0.342839427582166,0.04469974144945618,0.04442687230508816,0.4649591893473376,0.19502180163959326,0.2944922142892632,0.12929630181166113,0.15470090899466651,-0.0798094203877507,0.06978375117808393,0.4808156184821761,-0.1490194012670356,0.23466548173132118,0.037860172024185935,0.24980296440108868,0.052385887091797555,-0.0017501306405721122,-0.0002465054088016021,0.23333038189343433,0.06320436361988142,0.11834039259362991,-0.01963194423066405
jowar,-0.02726372333748624,-0.11267709690449755,-0.091313528844108,0.00018890426387502106,-0.09824738799220659,-0.11472634293300317,-0.031921653973559866,-0.05421546591982994,-0.14059278559761115,-0.030453884265958107,-0.03162847555478498,-0.17656632919009524,-0.0939467664320168,-0.09953287245956395,-0.1120342631266931,-0.015982837613633408,0.1593505190330819,0.15376001768214026,0.15936664346418125,0.13186232040651907,0.11642676728798268,0.16306411450262162,-0.01668532753478779,0.1873346477623424,0.3006785815299045,-0.01858903921489268,0.019899251793594478,0.477796919460097,0.15033808492539974,0.2062680154343986,-0.08625907679785398,0.02437318311022022,-0.155517799239674,-0.005626692938002611,0.24982180921810596,-0.08349013745497672,0.028168507429903875,0.009540339001975463,0.0782987967590217,-0.0050449086196321475,-0.0997655577547029,-0.08680281183334344,0.12301537772482612,-0.031575784914539,-0.018433656576915303,-0.10777981603937559
flour,-0.07259151085592261,-0.08714642593864132,-0.1256579971472672,-0.060667270159730675,-0.13609971642479443,-0.03477558195851127,-0.0439350526235217,-0.04747075488257501,-0.10519369938297124,-0.009466848738494906,-0.1121122634682585,-0.17220583366589057,-0.010359971477523197,-0.11122402720111271,-0.13926670492848148,0.08874230185459428,0.16263239137783625,0.09308120518910637,0.20154895462156613,0.2272504506126333,0.21866924490427345,0.28365771820815183,0.1558856964719934,0.07383469578144336,0.3965867866532339,0.06327206147234796,0.004693917520270658,0.4785357537988118,0.13096041562854954,0.3859268350051066,-0.005182585425087016,-0.04054132668891876,-0.09418902678614718,0.09068079117053007,0.20327379933905126,-0.0746335914937569,0.13247392801631824,0.018215327759321744,0.08116340762422278,0.057866160219314434,-0.054897183167254865,-0.06364485563991114,0.05850592685060958,-0.028554393732112528,0.005498410690761192,-0.12914257280461752
distill,0.05900231543715117,0.04299383374153318,0.018566658660008208,-0.045081761953155,0.02794594713467742,0.0320207302639328,0.09416403225434908,0.009319912271705165,0.13683106294424968,0.11895263080416857,-0.03365223364803337,0.0731587014362008,0.09060723538484007,0.04031355766497651,0.09910907539294402,0.2272771824916876,0.317222649634095,0.14216380061272932,0.33445172477608187,0.1848520162597226,0.4947416104703871,0.24207750500091996,0.10855619581259043,0.16927545785687503,0.3079294267668465,0.1019816232243669,0.12225612770543537,0.30034270706044586,0.20628406782683678,0.21852651344251792,0.09676965344647985,-0.0727572897163097,0.039737561444606315,0.17512944915535303,0.15213155854880195,0.02613947382115094,0.19372929267903038,0.20348562491816888,0.09871290821035188,0.107667304276996,0.06402474439732288,0.05400802981087868,0.10890899946698576,0.024839367016588326,0.10015114165473843,0.02240802218201383
mlx,-0.07018862065502611,-0.10763090126825653,-0.09114264325373356,-0.14133423532092407,-0.023475218388866997,-0.057929541958332165,-0.05779977220503955,-0.057469382274919135,-0.08550159067820443,0.03928577436161565,-0.08553151030335625,-0.006332154553301739,-0.04518052266761096,-0.06300015846620291,-0.10454543556356408,0.03988820047140979,0.018490441808626454,0.04795466171116974,0.11295889272555361,0.14237832905832634,0.4313319193799459,0.0061369253521813254,0.005843683990113781,0.04416713008291794,0.1520856171426762,-0.009473999097362863,-0.1159114154327712,0.09584544853432979,0.09213634054163371,0.18785578731728075,-0.07085120384101497,-0.04091580054369771,-0.17162347118348625,-0.03941428284390369,0.05779226878827107,0.05780253195201533,0.03121403502186831,-0.02940459373567004,-0.03677869590561224,-0.00392290489576595,-0.07331708119494225,-0.04876324112846614,0.03175761348051416,-0.0631265347089487,-0.08790227700537431,-0.1361299633115209
scotch,0.014124119307267652,0.0032733373155867914,0.007927735560220391,-0.03411559355017927,0.06574841354710201,0.07110624236854499,0.08847529540362048,0.10998344113720873,0.09267582199914405,0.17007033851725262,0.04557407201912484,0.02481834961659797,0.059817981407695106,0.05494555301880714,0.009137070710444952,0.15835221089616777,0.08558220632357585,0.1130264742517914,0.12300300551844727,0.12908112396563381,0.5679996529653398,0.12884317313078106,0.11686112480238088,0.1225935895018998,0.17859137142990258,0.13269519272019936,-0.044237831141184215,0.17314225420174584,0.001991481207891174,0.20626894981515506,0.07378351479147331,0.0014889816752562703,0.10598175714586791,0.015286333363425336,0.01968772318438274,0.08026590969771383,0.2033843156103078,0.1314002451982234,0.020348262637416906,0.022454509733440597,0.10170913502776911,0.10794406363254266,0.1149650727136751,0.1163953471623229,0.10121355858138799,0.002046321541940613
glenlivet,-0.046993088216775225,-0.08992570572251952,-0.02758751131764317,-0.06646980949000086,0.008004453280936264,-0.020310232679594108,0.06432340943458703,0.02982227860466992,0.10625887079446089,0.0796258865430466,-0.10314970476664363,-0.015091142002345131,-0.009802842804240501,0.026941630220119174,0.006839898894566261,0.05108697939042025,0.011871866818288616,-0.09905548342780099,0.05502386172748525,0.15465390155721223,0.48974331621192885,-0.06252561271037518,-0.013074285834824987,0.032286202993462985,0.12025529324103158,-0.02016403543770163,-0.13249288836896098,0.04137908853151298,0.1421958814145405,0.1870612903365469,-0.08937266882102128,-0.03929252205414584,0.003676879671668611,-0.07753749303245584,-0.010741192492645275,0.058763659300218755,-0.08348954980414754,0.09247659442414169,-0.06229090123162374,-0.006262160684141279,-0.06384044739037062,-0.021826891390639123,0.0673736186681369,0.000874398031557463,-0.020508017684051253,-0.09082514184025915
silage,-0.07252640096379084,-0.0986100208325244,-0.17668810476040175,-0.0445235779367597,-0.16578334523803517,-0.08687707344278515,-0.01750482735522748,-0.13778005294243698,-0.20240578136800466,-0.09493213774993643,-0.059371442581554544,-0.18401893189383112,-0.03440045272682506,-0.12992474154549646,-0.13728649016717023,-0.027003423423088414,0.2117983668633491,0.08669195515865229,0.16291970220033591,0.01831608304423761,0.165937489254366,0.2185458685471125,-0.0080596497168119,0.01742227634758745,0.13596038823369913,-0.04825817670116467,0.015636427272783103,0.5010232741520005,0.17088461361644436,0.13023659468631973,-0.0873984540066487,0.020457457053545042,-0.18951214745064354,-0.0019183276517395571,0.2533159692705865,-0.1450834876315223,0.024148051302466444,0.01301079351074131,0.2012799298285854,0.020436510166510317,-0.16464997748889215,-0.1758070185056991,-0.0166811910537033,-0.09356389818371194,0.013847831679184467,-0.09779486255574191
